course,branch,category,cutoff_rank
ENGG,EE Electrical,1G,57657
ENGG,ME Mechanical,1G,3878
ENGG,CE Civil,1G,2176
ENGG,EC Electronics,1G,47466
ENGG,EE Electrical,1G,63080
ENGG,ME Mechanical,1G,4590
ENGG,and Design,1G,2722
ENGG,CS Computers,1G,76906
ENGG,EC Electronics,1G,94042
ENGG,CS Computers,1G,80854
ENGG,EC Electronics,1G,2260
ENGG,ME Mechanical,1G,1295
ENGG,CE Civil,1G,3400
ENGG,CS Computers,1G,21606
ENGG,EC Electronics,1G,38801
ENGG,EE Electrical,1G,61202
ENGG,IP Ind.Prodn.,1G,6369
ENGG,ME Mechanical,1G,7041
ENGG,CS Computers,1G,95179
ENGG,EC Electronics,1G,2134
ENGG,TX Textiles,1G,4996
ENGG,CE Civil,1G,3276
ENGG,CS Computers,1G,83113
ENGG,EC Electronics,1G,1341
ENGG,IE Info.Science,1G,0544
ENGG,Intelligence,1G,27329
ENGG,CE Civil,1G,2236
ENGG,CS Computers,1G,16814
ENGG,EC Electronics,1G,21277
ENGG,EE Electrical,1G,34439
ENGG,IE Info.Science,1G,21570
ENGG,ME Mechanical,1G,2522
ENGG,"CA CS (AI, MachineLearning)",1G,0312
ENGG,CE Civil,1G,6392
ENGG,CS Computers,1G,94024
ENGG,EC Electronics,1G,3391
ENGG,CE Civil,1G,4733
ENGG,CH Chemical,1G,2206
ENGG,CS Computers,1G,33447
ENGG,EC Electronics,1G,28130
ENGG,EE Electrical,1G,50915
ENGG,ME Mechanical,1G,2980
ENGG,AE Aeronaut.Engg,1G,71190
ENGG,"CA CS (AI, MachineLearning)",1G,25298
ENGG,CE Civil,1G,3430
ENGG,CS Computers,1G,17063
ENGG,EC Electronics,1G,29127
ENGG,EE Electrical,1G,43259
ENGG,IE Info.Science,1G,26138
ENGG,ME Mechanical,1G,99334
ENGG,"CA CS (AI, MachineLearning)",1G,48857
ENGG,CE Civil,1G,2325
ENGG,CS Computers,1G,38627
ENGG,Data Sc.,1G,61135
ENGG,EC Electronics,1G,75807
ENGG,EE Electrical,1G,2773
ENGG,IE Info.Science,1G,60729
ENGG,ME Mechanical,1G,5754
ENGG,CS Computers,1G,85249
ENGG,EC Electronics,1G,99425
ENGG,EE Electrical,1G,1774
ENGG,ME Mechanical,1G,1681
ENGG,CE Civil,1G,2335
ENGG,IP Ind.Prodn.,1G,6817
ENGG,ME Mechanical,1G,8557
ENGG,AE Aeronaut.Engg,1G,3208
ENGG,CS Computers,1G,1123
ENGG,"CA CS (AI, MachineLearning)",1G,0662
ENGG,CS Computers,1G,73793
ENGG,EC Electronics,1G,1167
ENGG,Security,1G,3325
ENGG,ME Mechanical,1G,4575
ENGG,CS Computers,1G,69387
ENGG,EC Electronics,1G,1392
ENGG,EE Electrical,1G,6186
ENGG,ME Mechanical,1G,2311
ENGG,CE Civil,1G,9496
ENGG,"CA CS (AI, MachineLearning)",1G,47978
ENGG,CE Civil,1G,2399
ENGG,CS Computers,1G,33169
ENGG,EC Electronics,1G,56974
ENGG,EE Electrical,1G,64966
ENGG,IE Info.Science,1G,47204
ENGG,"AD ArtificialIntel, Data Sc",1G,4050
ENGG,Intelligence,1G,6900
ENGG,BT Bio Technology,1G,21282
ENGG,Bus Sys.,1G,9249
ENGG,CE Civil,1G,43535
ENGG,CH Chemical,1G,46599
ENGG,CS Computers,1G,5232
ENGG,Data Sc.,1G,5647
ENGG,EC Electronics,1G,9551
ENGG,"IC CS-IoT, CyberSecurity",1G,8180
ENGG,Intelligence,1G,32620
ENGG,CE Civil,1G,4916
ENGG,CS Computers,1G,31295
ENGG,EC Electronics,1G,43054
ENGG,Computer,1G,86820
ENGG,IE Info.Science,1G,43960
ENGG,"CA CS (AI, MachineLearning)",1G,0376
ENGG,CS Computers,1G,0515
ENGG,EC Electronics,1G,1977
ENGG,Intelligence,1G,0057
ENGG,CS Computers,1G,89795
ENGG,EC Electronics,1G,3952
ENGG,"IC CS-IoT, CyberSecurity",1G,2485
ENGG,CE Civil,1G,0758
ENGG,EC Electronics,1G,19271
ENGG,EE Electrical,1G,31110
ENGG,ME Mechanical,1G,68880
ENGG,CE Civil,1G,90424
ENGG,CS Computers,1G,11845
ENGG,EC Electronics,1G,12501
ENGG,IE Info.Science,1G,11700
ENGG,ME Mechanical,1G,65808
ENGG,"CA CS (AI, MachineLearning)",1G,37112
ENGG,Bus Sys.,1G,61240
ENGG,CS Computers,1G,34764
ENGG,Data Sc.,1G,39237
ENGG,EC Electronics,1G,38689
ENGG,IE Info.Science,1G,35716
ENGG,Intelligence,1G,59537
ENGG,and Design,1G,84944
ENGG,CS Computers,1G,41805
ENGG,Engg,1G,8577
