Unnamed: 0,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,2222,--,--,108083,10805,17889,43860,--,--,95172,--,--,93510,--,1590,87999,91784,10428,13011,13480,14686,13232,--,139958
CS Computers,13904,20322,--,12216,--,13099,11117,--,--,10307,--,--,10865,--,13282,9930,10645,12334,32236,--,32681,30712,--,37241
EC Electronics,25626,--,--,24881,26864,28652,34835,--,52075,20718,--,21728,22010,--,23363,19476,23509,21669,58510,58567,78987,62476,66880,62898
EE Electrical,47309,--,58473,39832,42718,43465,47260,--,--,33025,--,35124,35778,38326,--,32275,35435,34499,83657,--,84700,74972,--,--
EI Elec. Inst.Engg,53528,--,74970,60597,--,64883,69456,82632,--,50894,--,--,50705,--,--,49817,53636,60313,14287,19142,18040,13271,--,--
ET Elec.Telecommn. Engg.,41390,--,--,48937,--,55282,46334,--,06840,35098,47659,--,36637,--,--,32864,38949,38226,10738,--,11557,80014,--,103615
IM Ind. Engg.Mgmt.,66342,--,--,71835,--,09332,13763,--,--,68039,--,--,69508,--,--,64349,90413,80363,14929,--,18125,13903,--,--
ME Mechanical,1240,--,12230,102503,03820,04183,19894,--,43381,87873,--,00709,90957,--,1152,83833,95068,10064,15579,16805,17615,17342,21244,229179
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BT Bio Technology,19438,--,--,12939,23528,32662,--,--,--,8563,--,--,12721,--,--,5881,--,13770,44128,--,61454,45191,--,--
"CA CS (AI, MachineLearning)",1387,--,--,1348,--,1802,2133,--,--,716,--,--,1098,--,1780,530,2072,1344,8163,9060,9040,10999,--,12387
CE Civil,27080,--,--,23186,--,34312,12999,--,--,--,--,--,17427,49255,--,11408,--,26756,34913,--,42558,61968,--,--
CH Chemical,--,43342,--,16779,--,--,30556,--,43596,12855,--,--,--,--,--,8603,--,11727,24059,--,--,36539,--,--
CS Computers,636,--,3282,938,3982,1009,1068,--,--,563,--,941,854,--,933,290,1119,894,4131,4849,6453,5499,13393,7087
CY CS- CyberSecurity,1652,--,--,1901,--,--,2156,25997,--,1681,--,--,1234,--,--,604,--,1716,9570,--,18988,12514,--,15664
DS Comp. Sc. Engg-Data Sc.,1566,--,--,1598,--,2016,2077,--,--,1239,--,--,1116,--,--,459,5012,1795,7857,--,13385,10267,--,--
EC Electronics,2679,--,--,2665,5856,3860,2858,--,6095,1968,--,3158,1956,--,3185,746,4000,3084,14641,25618,15510,22676,56231,23109
EE Electrical,7711,--,14418,8814,--,--,8086,--,--,5643,--,7154,3455,--,--,1105,12269,5851,25484,--,--,23041,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ET Elec.Telecommn. Engg.,5309,--,18144,5769,--,12684,12805,--,--,3938,29054,--,4303,--,--,1240,--,8330,30853,--,--,28258,--,--
IE Info.Science,1499,--,--,1392,5079,1653,1301,--,--,1179,--,--,1090,--,1492,489,1688,1398,7098,18206,9460,9647,--,12532
IM Ind. Engg.Mgmt.,16653,--,--,26703,--,33510,37494,--,--,15870,--,--,24945,--,--,13536,28983,28395,62827,--,96205,74755,--,--
ME Mechanical,11574,--,--,16158,--,20191,13964,--,21456,6229,--,--,12340,--,--,3958,32152,17179,44415,55420,51920,61778,--,64188
SE Aero SpaceEngg.,8775,--,--,5664,--,6852,6919,--,--,2444,--,--,5981,--,--,1809,10915,4122,21939,--,60164,17281,--,--
"AD ArtificialIntel, Data Sc",2690,--,--,5403,--,5711,3512,--,--,3578,--,--,3791,--,--,2547,--,5641,21899,--,32167,13531,41216,--
AI ArtificialIntelligence,5350,--,--,5360,--,6896,6458,--,--,3353,--,--,3075,--,--,2861,3447,4397,19687,--,22097,16813,--,--
AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BT Bio Technology,20626,--,40605,21812,--,--,22650,--,--,17759,--,--,21224,--,--,10082,43460,16215,41597,--,82437,54406,57303,--
"CA CS (AI, MachineLearning)",4258,--,--,4915,--,5534,3506,--,--,2504,--,--,3031,--,4741,2256,3433,4611,17734,29723,27217,15559,--,22302
CE Civil,33943,--,--,41581,--,60488,47510,--,--,35126,--,--,39466,--,--,29770,56813,38999,47261,--,87623,64928,--,--
CH Chemical,40528,--,--,31515,--,37698,42170,--,--,24480,--,--,20611,26774,--,18616,--,27194,62182,--,81913,37549,--,--
CS Computers,2330,--,--,3089,5210,3258,2300,--,5976,1941,--,--,2363,--,--,1254,2687,2248,10414,19248,14747,13644,--,13873
CY CS- CyberSecurity,--,--,--,5200,--,7586,4296,--,--,3576,--,--,3825,--,--,2382,7166,5171,19046,--,35785,19777,--,--
EC Electronics,6799,--,--,6358,10112,7170,7203,--,--,4058,--,8103,3759,--,6068,3268,4391,5606,26964,28765,27461,29420,--,34278
EE Electrical,--,--,19580,12264,--,--,9976,--,72517,9258,29298,--,9400,--,--,5220,--,9211,43666,--,--,33215,--,--
EI Elec. Inst.Engg,16979,65522,--,14370,--,25202,16611,--,--,15002,--,--,9658,--,--,6969,--,19609,64532,--,91375,62909,--,--
ET Elec.Telecommn. Engg.,14611,--,33996,12262,--,--,14625,145515,--,9154,--,--,7072,--,--,4274,--,16588,52810,--,71685,49756,--,--
IE Info.Science,4889,--,--,4680,5810,6938,5141,--,--,2507,--,4731,2940,--,4514,2241,5573,3953,19513,26549,29790,18937,--,25994
IM Ind. Engg.Mgmt.,31155,--,--,50595,--,--,--,--,48036,32511,--,--,45116,--,74624,26275,63319,35911,11256,--,--,10944,--,--
MD Med.Elect.,74739,--,--,40946,--,78368,48685,--,--,44119,--,--,43586,--,--,32115,75344,49738,10157,--,11170,11938,--,--
ME Mechanical,32386,--,--,32261,--,44504,32530,--,--,26292,--,38371,28351,--,--,15760,38490,32039,81362,11421,13429,95454,--,115501
SE Aero SpaceEngg.,--,--,--,17252,30038,--,9066,--,25720,7936,--,--,8768,--,--,6488,18477,14777,44587,--,--,25614,--,39929
AE Aeronaut.Engg,20572,--,--,19983,--,25736,23909,--,--,19063,--,--,19859,--,--,17436,23034,17814,49690,--,64411,44603,--,--
AI ArtificialIntelligence,7375,--,--,7141,--,8542,--,--,--,5586,11616,--,5472,--,--,4962,--,8485,30377,--,34357,34369,--,--
AU Automobile,98430,--,--,66363,20225,--,81817,--,51281,53832,--,--,55215,--,--,48842,69486,56595,12180,--,14186,16094,--,--
BT Bio Technology,25508,--,--,29866,--,60915,45324,--,--,32413,--,--,28868,--,--,20973,58842,28017,77703,--,92150,83332,--,--
CB Comp. Sc. andBus Sys.,11603,--,--,13766,--,--,--,--,--,--,--,--,7983,--,--,7198,21750,10640,47250,--,66456,46351,70152,75202
CD Computer Sc.and Design,14654,--,33259,13856,--,--,9651,--,--,8708,--,18396,8521,--,--,7878,22427,13668,49263,--,--,51428,--,--
CE Civil,0340,--,--,102846,08086,19376,1478,--,--,84624,--,--,76845,--,96135,65608,81980,93359,12950,15837,13703,12269,--,152710
CH Chemical,39337,11939,13183,43637,--,--,48016,147955,88516,45679,--,--,39364,--,--,33660,--,36430,99618,--,--,10603,--,--
CS Computers,8404,--,9108,6953,9948,7581,9044,--,10974,5183,--,--,4754,--,5943,4024,8764,5882,26230,31957,31261,30190,37113,31510
CY CS- CyberSecurity,--,--,--,8945,--,9841,15791,33606,--,6822,--,--,5927,--,--,5271,--,7782,33945,--,62798,35462,--,--
DS Comp. Sc. Engg-Data Sc.,8884,--,--,7632,--,8996,9332,--,--,6191,--,--,6406,11218,--,4890,--,8444,36061,--,53914,22828,--,--
EC Electronics,12525,--,13985,13944,18347,15299,16348,--,21879,9542,--,--,8784,--,14256,7567,16361,13615,55805,64211,61396,48824,58763,51184
EE Electrical,22396,--,--,28640,--,36139,42671,--,--,22735,--,--,22754,--,30314,20879,34223,29886,76668,10317,91097,74955,--,76281
EI Elec. Inst.Engg,30892,--,--,33893,--,--,28103,--,--,25699,--,29182,25320,--,--,21181,30114,27216,97490,--,11767,67912,--,--
ET Elec.Telecommn. Engg.,24117,--,43561,28384,--,36558,27768,--,--,20106,--,--,20835,--,--,15909,38197,27542,98770,16322,10973,89532,--,141114
"IC CS-IoT, CyberSecurity",18589,--,--,13236,--,--,16073,50708,25864,7614,--,9240,7482,--,--,6771,--,9165,52704,--,--,36991,--,--
IE Info.Science,10369,--,--,8547,19064,9916,11724,--,--,6244,--,--,6493,--,8111,5430,10969,8058,37041,59957,39224,39233,--,39322
MD Med.Elect.,--,--,--,76317,25501,--,80320,--,--,51289,--,16867,46753,--,--,46746,95135,79687,13064,--,--,19479,--,215445
ME Mechanical,38989,--,--,68035,--,72923,58052,--,--,45961,--,--,44982,77926,79586,36593,70478,65111,12824,--,17131,15547,--,180024
RI Robotics and AI,19375,--,--,16945,--,19619,22731,--,--,11731,--,--,14634,--,--,9578,28094,14527,51905,--,71271,15040,--,--
AI ArtificialIntelligence,9089,--,--,9592,--,11149,10906,--,--,6827,--,--,6321,--,--,6117,10062,9554,37299,--,41933,38112,--,--
CE Civil,85571,--,--,112071,--,23639,86550,--,--,80132,--,--,89071,--,1182,78905,92394,97102,14958,16689,16368,13890,--,188475
CS Computers,9822,--,10731,9094,10065,9501,10775,--,14436,6413,--,--,6230,--,8671,5540,9953,6786,30810,45214,44824,31652,39630,32304
DS Comp. Sc. Engg-Data Sc.,12799,21889,--,10375,--,12911,16061,--,--,7928,--,--,9194,--,--,7721,--,9718,42564,--,57777,35922,--,--
EC Electronics,19393,--,--,15530,21807,18427,28505,--,--,10805,--,--,11082,--,15228,9480,18942,14117,62422,79054,78941,62605,--,64332
EE Electrical,--,--,58018,30758,--,--,--,--,--,25824,--,--,19990,--,--,19718,37247,25758,79222,--,85347,78070,11366,--
EI Elec. Inst.Engg,26214,--,--,41101,--,--,43167,--,--,34768,--,57609,29680,--,--,25109,38852,40619,12016,--,--,12238,--,--
ET Elec.Telecommn. Engg.,29739,--,--,30356,--,--,37898,153865,48248,--,--,35261,25648,--,--,19130,--,33339,99509,--,--,11649,--,--
EV EC  Engg(VLSIDesign),24727,--,--,26227,--,--,40387,--,49701,--,39112,30476,26038,--,--,18938,--,24631,96251,--,--,81500,--,--
"IC CS-IoT, CyberSecurity",14573,--,--,15184,--,17524,21425,--,--,11276,--,--,10879,26085,--,8997,--,15721,64261,--,65179,57851,--,--
IE Info.Science,11499,--,--,10662,17210,10866,15730,--,--,7558,--,--,8366,--,12652,7360,16705,9728,51782,71108,63553,42807,--,42889
ME Mechanical,57321,--,11546,76291,03002,89030,68357,--,--,57794,--,--,58415,--,--,51301,78324,85541,14699,--,16825,18505,--,191446
RI Robotics and AI,22294,--,--,19411,--,20970,31306,--,--,13572,--,--,14923,--,--,13559,44002,19268,56341,--,65641,64521,--,--
AM B Tech in AM,6987,--,7869,5290,10297,7012,7830,--,10654,3085,--,5468,3008,9961,4882,1763,9398,4839,27512,30385,48891,32335,33425,38436
AR Architecture,196,--,--,149,--,--,--,--,--,99,--,--,--,--,--,60,--,429,--,--,--,--,--,--
BB B Tech in EC,10089,--,15093,7947,14776,11550,11471,--,14098,5101,13633,9371,5223,--,8621,3018,11368,8254,38888,65409,65763,46303,--,52279
BJ B Tech in EE,16634,--,19070,14467,--,--,22494,106119,--,5687,--,--,7690,--,--,5037,--,13000,59225,--,75243,48731,--,--
BO B Tech in BT,30879,--,--,25542,52586,58474,--,--,40743,--,--,--,16942,--,--,10425,--,26265,68829,--,--,18040,--,--
BW B Tech in CS,4030,9465,7447,3187,9994,4623,5889,--,6750,2005,--,4045,1940,6337,3911,1247,5557,3453,18840,21207,36632,26538,29081,29644
DB B Tech in ME,--,--,--,28118,--,--,30435,--,--,21154,--,--,25363,--,--,9117,--,38584,92226,96828,15513,74760,--,--
AE Aeronaut.Engg,79585,--,--,70724,--,72429,77883,--,--,54182,--,--,51340,--,--,50934,58185,69335,12214,12715,13402,11719,--,159790
AI ArtificialIntelligence,--,--,--,26460,--,--,29209,--,--,22455,--,25844,22564,27738,--,22166,--,23838,65633,--,74055,54089,--,--
CD Computer Sc.and Design,33790,10978,--,37152,--,38462,40985,--,--,--,--,--,30451,--,--,28886,--,30348,10603,--,11752,96831,--,--
CE Civil,--,--,--,112782,--,--,--,--,--,--,--,--,--,--,--,88679,96194,11043,15376,--,--,--,--,--
CH Chemical,--,--,--,58922,--,--,--,--,--,68064,--,--,--,--,--,35416,82576,65269,70135,--,--,--,--,--
CS Computers,26278,--,--,25546,28095,27305,29027,--,--,22662,--,23622,22702,--,23966,21665,27184,23317,67289,73994,87975,60489,--,85040
DS Comp. Sc. Engg-Data Sc.,28114,--,29292,28321,--,29510,--,--,--,25704,47744,--,27086,--,--,25641,--,25962,69059,--,--,55135,--,--
EB EAT,--,--,--,34804,--,45831,69414,16975,--,35361,--,42507,35829,--,--,34528,--,38501,11211,--,--,14256,--,--
EC Electronics,37560,--,--,34214,48050,38388,53644,--,--,32831,--,--,32175,--,34626,31195,39616,34091,95284,11736,11142,13063,--,135236
EE Electrical,--,--,--,50370,--,--,--,--,26588,48567,--,--,--,--,--,43407,--,50574,11674,--,--,82144,--,--
EV EC  Engg(VLSIDesign),75445,--,80300,50887,--,--,78202,--,--,--,--,--,42425,--,--,42363,--,42714,13544,--,17415,13584,21012,--
IE Info.Science,31595,--,--,30458,33635,33324,41462,--,--,26498,--,--,27116,--,29266,25977,32531,28832,89097,--,10861,79373,--,87482
ME Mechanical,2934,--,--,101277,--,--,--,--,73690,--,--,--,--,--,--,93205,--,10574,13336,--,--,22316,--,--
OT Industrial IOT,--,--,--,93253,--,--,--,--,35381,--,--,--,--,--,--,81278,--,10008,13779,--,--,23576,--,--
SE Aero SpaceEngg.,49573,--,--,53507,--,76228,67921,--,--,54612,--,--,58209,--,--,44582,64990,60901,80165,--,11270,11275,--,--
AI ArtificialIntelligence,20728,--,--,16447,--,21275,25958,--,--,14483,32675,--,14278,--,--,12912,--,14260,44631,--,55337,39586,--,--
BT Bio Technology,49106,--,--,37825,--,48080,70460,--,--,37574,--,--,38976,--,--,30859,76840,37259,78737,--,16159,10005,--,--
CE Civil,91700,15814,--,120330,--,30159,29043,--,--,93115,--,--,94064,--,--,85307,--,10691,15510,--,16018,93148,--,--
CS Computers,19024,--,21730,17093,18560,19094,20547,--,31354,14389,--,--,13784,--,15982,13464,15322,15763,52806,58074,61044,41941,47411,46805
DS Comp. Sc. Engg-Data Sc.,22720,--,--,20707,25355,27154,--,--,--,--,--,16903,16222,--,--,16108,25226,16627,60319,--,--,65746,--,--
EC Electronics,26753,--,27436,23106,--,28486,32678,--,--,20030,--,--,21469,--,--,19614,24316,23149,76044,11050,82247,72528,--,95114
EE Electrical,45118,--,--,40822,66039,57412,49904,--,--,39439,--,--,38534,--,54705,37943,49456,49985,11247,--,12629,94969,--,137231
ES Electronics andComputer,--,--,--,31655,--,--,36524,--,--,26665,--,32886,25701,--,--,25370,48802,30300,11950,12142,15075,13431,--,--
"IC CS-IoT, CyberSecurity",22753,--,36438,19690,--,--,28508,--,--,19702,--,--,18471,33566,--,17426,--,22507,79247,--,99874,63435,--,--
IE Info.Science,23370,--,--,19381,--,22408,23230,--,--,16513,--,--,16703,--,18949,16336,22681,18816,71150,10522,75312,61443,--,67846
ME Mechanical,97286,--,--,89008,--,--,83731,67353,98300,80670,--,96155,82385,--,--,74427,--,94481,16858,--,--,20727,--,--
RI Robotics and AI,35935,--,--,26874,--,39611,34859,--,--,23746,--,--,27114,--,--,23652,39498,28985,81091,--,13754,96142,--,--
TC Telecommn.,60832,--,--,62733,--,--,70051,--,--,49574,--,--,44131,--,--,41544,71066,65587,14639,--,--,10380,--,--
AI ArtificialIntelligence,98321,--,--,102710,--,04401,81355,--,--,73426,--,--,70650,--,--,67004,--,68792,13359,21452,18972,11728,--,--
CE Civil,--,--,--,174817,--,--,--,--,--,--,42089,--,--,--,--,13821,--,14926,18836,--,--,22541,--,--
CS Computers,98642,--,--,102978,03001,05850,91659,--,--,79393,--,--,82200,--,90249,78466,88313,85927,15740,16744,17240,12626,--,136728
CY CS- CyberSecurity,--,--,10408,98907,--,--,--,--,--,--,--,--,91715,--,--,85461,--,97139,12955,--,--,13963,--,--
EC Electronics,1404,--,--,106873,--,08774,95472,--,--,79941,--,--,99221,--,--,77024,89479,79929,18735,--,19568,12292,--,--
EE Electrical,--,--,--,117630,--,--,--,--,--,--,--,--,16106,--,--,10415,--,11447,17225,--,--,22737,--,--
IE Info.Science,1088,--,--,106084,--,23682,95661,--,--,93245,--,--,02647,--,--,93232,--,10056,18995,--,--,16519,--,238629
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
RI Robotics and AI,--,--,--,119737,--,--,--,--,--,06820,--,12816,--,--,--,10137,--,10148,11985,--,--,--,--,--
"AD ArtificialIntel, Data Sc",49519,--,--,47312,--,--,55267,--,77840,44599,--,46950,52370,--,--,44460,54609,45451,10476,--,--,13568,--,--
AE Aeronaut.Engg,70137,12198,--,65965,--,--,--,--,--,--,--,--,--,--,--,52874,--,69238,85817,--,--,10108,--,--
"CA CS (AI, MachineLearning)",50227,--,--,46220,--,--,41237,--,75421,40437,--,--,43772,--,--,37484,55320,39109,12069,13195,13587,10969,--,--
CD Computer Sc.and Design,61635,--,--,83810,--,17172,75868,--,--,61077,--,--,76376,14760,--,60210,--,69447,15229,--,17702,14506,--,--
CE Civil,4274,--,--,139797,--,76892,31029,--,--,19126,89274,--,57610,--,--,11653,--,13454,21116,--,21747,17727,--,--
CK Civil Engg(Kannada),--,--,--,176855,--,--,--,--,--,89914,--,--,--,--,--,15538,--,23014,18766,--,--,--,--,--
CS Computers,44265,--,--,44519,44527,51913,41245,--,--,34548,--,--,37084,--,44888,33117,37421,36910,89789,10196,96593,10275,--,109430
EC Electronics,78934,--,--,71170,92356,86065,79366,--,--,63229,--,--,69360,--,69471,60666,67109,64025,15235,18283,15907,14627,--,168488
IE Info.Science,57597,--,--,56916,--,74180,52056,--,--,49937,--,--,49787,--,50872,47583,50047,49615,13522,--,14960,11561,22335,173472
ME Mechanical,--,--,--,113659,--,--,--,--,--,--,--,23916,09278,--,--,10826,12177,11738,18002,--,--,17783,--,--
SE Aero SpaceEngg.,--,--,10747,51381,--,--,91542,--,--,--,--,--,--,--,--,47751,--,51002,57137,--,--,56445,--,--
"CA CS (AI, MachineLearning)",1580,--,--,103451,--,12561,93109,--,--,90540,--,--,06681,--,--,81240,11740,87338,10907,21843,22277,15131,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,0697,--,11537,111954,14494,18361,20948,--,--,97354,--,06364,99265,--,0858,93776,98172,10471,14516,17088,17483,15091,15402,155303
EC Electronics,3173,--,--,106896,--,22441,99405,--,28456,03650,--,--,04926,16838,--,98625,10864,11952,14841,--,21621,17809,--,--
EE Electrical,--,--,17229,134881,--,--,53819,--,29528,29488,--,--,--,--,--,11874,--,12949,16128,--,--,22445,--,--
ME Mechanical,--,--,--,177548,--,--,61811,--,--,76976,--,--,74693,--,--,15658,16516,16835,19936,--,--,22513,--,263260
MI MiningEngineering,--,--,--,164413,--,--,--,--,--,--,--,79024,--,--,--,12584,17657,17365,20869,--,--,19422,--,--
"AD ArtificialIntel, Data Sc",18124,--,19096,12596,--,--,20007,--,--,10594,--,13253,10764,18983,--,10399,16866,11564,49341,--,--,34460,--,--
BT Bio Technology,66411,--,--,51514,--,--,--,--,49728,37268,--,--,--,--,--,35540,56589,45371,11453,--,--,82126,--,--
"CA CS (AI, MachineLearning)",12835,--,16250,12169,--,--,19357,--,--,9674,--,--,9470,--,--,9293,15044,10487,41504,88271,54857,30193,--,--
CE Civil,97710,--,--,99729,80675,05169,07215,--,--,81275,--,87218,83173,--,--,73809,91082,86269,13087,--,--,11175,--,--
CH Chemical,85514,--,--,93525,--,06675,84289,--,--,72597,--,--,57850,--,--,50762,80383,71136,18623,20450,21240,16278,--,--
CS Computers,10899,--,--,10079,16183,10704,14581,--,--,6923,--,--,7341,--,9369,6798,8617,8816,34124,36555,37377,25350,--,32887
EC Electronics,17832,--,--,16239,--,17354,28673,--,--,11607,--,--,12575,--,16203,11369,14584,14904,53666,--,63945,49297,61990,51263
EE Electrical,23516,--,--,27949,--,29807,39537,--,--,25042,--,--,22276,28233,--,22030,27704,29394,79011,--,86698,56822,--,--
EI Elec. Inst.Engg,40800,--,66923,37098,--,43734,31878,89729,81047,31623,--,--,30782,--,--,29549,--,38667,96972,--,--,81512,--,--
ET Elec.Telecommn. Engg.,23984,--,--,29376,--,34629,40510,--,--,26787,40318,--,21911,--,27919,20598,--,27376,76678,--,98437,75176,--,--
IE Info.Science,15415,--,--,11902,--,12123,15359,--,--,8806,--,--,9255,--,10815,8800,11516,10252,52734,62551,55997,33116,--,34844
IM Ind. Engg.Mgmt.,59906,25777,--,93110,--,--,92096,--,--,66352,--,90943,59411,--,--,58983,--,72025,17747,--,19100,12518,18005,--
ME Mechanical,76832,--,--,79715,03936,10761,94132,--,04314,68916,--,--,69224,--,--,67295,73171,85993,16377,--,20688,16270,--,232678
AI ArtificialIntelligence,43628,--,--,44950,--,54858,--,--,--,41768,63394,--,38190,--,--,37341,--,40474,74262,--,--,69991,--,--
BM Bio Medical,--,18129,--,80732,--,--,--,--,--,--,--,--,--,--,--,73479,--,76779,12130,--,--,20436,--,--
CE Civil,--,--,--,123316,--,--,31976,--,--,20936,--,--,31218,--,--,11344,13813,13999,18021,--,18816,19775,--,--
CS Computers,39408,--,--,53227,61421,55602,41264,--,--,41246,--,--,44630,--,48569,36157,45452,47652,89808,14055,11676,10977,--,140253
CY CS- CyberSecurity,65176,--,95278,63756,--,--,--,--,--,--,--,--,52821,--,--,45011,60505,56005,11783,--,13379,83679,--,--
DS Comp. Sc. Engg-Data Sc.,61828,--,66492,60834,--,--,48073,--,98980,49512,--,--,43156,--,--,42415,54002,44477,90172,--,--,57350,--,--
EC Electronics,58979,--,--,66984,72571,73944,72210,--,--,58779,--,--,59840,--,62448,57067,62265,61645,13232,13669,15891,11630,--,134226
EE Electrical,85191,--,--,95713,--,98488,02246,--,--,82721,--,--,86854,--,94569,82276,85693,91378,15750,19810,20415,13777,--,171304
ET Elec.Telecommn. Engg.,98609,--,--,102473,--,--,13260,--,57066,90039,--,00518,89661,--,--,81085,93292,94001,18996,--,--,16041,--,--
IE Info.Science,49878,--,--,57823,--,61773,45189,--,--,51478,--,--,49437,--,--,44901,48433,53328,11208,--,11474,10577,21193,157498
ME Mechanical,--,--,--,115738,--,176665,31999,--,--,19180,--,--,25824,--,--,11268,--,12068,19208,--,20187,20886,--,--
RI Robotics and AI,80695,--,--,76467,--,--,90160,--,--,65919,--,96868,64813,04298,--,56025,--,81493,16406,--,16961,11176,--,--
AI ArtificialIntelligence,93899,--,10678,81432,84611,--,82602,--,13988,78342,--,--,79331,--,--,77870,83851,78160,12053,--,--,11779,--,--
CE Civil,7918,--,--,188839,--,200968,69535,--,--,65293,--,--,82949,--,--,15883,--,18790,21436,--,21595,17365,24441,--
CS Computers,82069,--,--,83526,86279,103236,83634,--,--,69811,--,--,66531,--,70905,61887,62816,69989,15734,17689,16530,14273,--,147370
EC Electronics,95030,--,--,104200,--,111840,24408,--,--,94071,--,--,93078,--,93706,89026,89215,91146,17404,19231,20915,17131,--,232255
IE Info.Science,1072,--,--,83745,--,110741,05385,--,--,76850,--,--,74327,--,--,70740,76469,81623,16897,--,17872,14275,--,--
ME Mechanical,7527,--,--,197506,--,--,22330,--,--,--,--,201619,75005,21861,--,17073,--,18504,24024,--,--,25630,--,--
CE Civil,49180,--,--,63197,--,70257,92774,42263,--,52166,--,75021,56729,--,--,47394,57091,60639,83457,--,11401,10336,--,--
CS Computers,6255,--,--,4067,--,7060,6370,--,--,2983,--,--,3418,--,--,2807,6150,4642,12998,--,15256,12769,25565,22806
EC Electronics,9848,--,--,8655,--,10403,15139,--,--,6308,--,--,6329,14542,9461,5525,7725,9267,29534,--,42153,26418,--,32966
EE Electrical,21034,--,--,24251,--,31569,19201,--,45444,16571,--,21951,20525,--,--,16055,24357,18613,49724,77549,77959,57283,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"EL Electronics,Instr. Tech.",28966,--,--,33675,39984,55677,50167,--,76299,20454,--,--,27933,--,--,19997,36634,36866,86945,10633,87546,10913,--,120735
EN Environmental,76888,10230,--,93555,--,99954,21336,--,--,80682,--,--,72162,--,2069,67232,68086,78588,14676,--,16683,14879,--,214971
IP Ind.Prodn.,91557,--,13066,98859,4101,135955,26577,--,35994,78831,--,--,85391,--,--,78457,88041,95352,16543,17499,17220,15230,--,--
