course,branch,category,cutoff_rank
ENGG,"IC CS-IoT, CyberSecurity",1H,34074
ENGG,CE Civil,1H,0904
ENGG,CS Computers,1H,2232
ENGG,CS Computers,1H,80882
ENGG,EE Electrical,1H,9674
ENGG,BW B Tech in CS,1H,70669
ENGG,BL B Tech in AS,1H,7782
ENGG,DH B Tech in RAI,1H,61924
ENGG,Engg.,1H,5695
ENGG,BP B Tech in CE,1H,8925
ENGG,BW B Tech in CS,1H,57279
ENGG,BY B Tech in DO,1H,0879
ENGG,DN B.Tech in VLSI,1H,4088
ENGG,BW B Tech in CS,1H,36723
ENGG,COMP.SC.ART.INT,1H,49850
ENGG,Robot.,1H,58882
ENGG,Bus Sys.,1H,1402
ENGG,BQ B Tech in CG,1H,80971
ENGG,LA B Plan,1H,43481
ENGG,CE Civil,1H,6724
ENGG,CS Computers,1H,86781
ENGG,EC Electronics,1H,4430
ENGG,EE Electrical,1H,6930
ENGG,CS Computers,1H,98185
ENGG,EC Electronics,1H,5812
ENGG,EE Electrical,1H,9948
ENGG,CS Computers,1H,93673
ENGG,IE Info.Science,1H,21495
ENGG,AERONAUT. ENGG.,1H,6692
ENGG,BG B Tech in AD,1H,94197
ENGG,S.AND BUSI.SYS,1H,05888
ENGG,nd Design,1H,2895
ENGG,DI B Tech in RE,1H,1862
ENGG,BG B Tech in AD,1H,1844
ENGG,CS Computers,1H,84576
ENGG,omputer,1H,2406
ENGG,"AD Artificialntel, Data Sc",1H,0256
ENGG,CE Civil,1H,9283
ENGG,CS Computers,1H,77357
ENGG,EC Electronics,1H,2127
ENGG,"AD Artificialntel, Data Sc",1H,2133
ENGG,CS Computers,1H,2799
ENGG,CS Computers,1H,3215
ENGG,EC Electronics,1H,4825
ENGG,EE Electrical,1H,2185
ENGG,BW B Tech in CS,1H,0226
ENGG,IE Info.Science,1H,5669
ENGG,Intel.),1KH,10694
ENGG,CE Civil,1KH,24817
ENGG,CS Computers,1KH,13923
ENGG,EC Electronics,1KH,17987
ENGG,EC Electronics,1KH,20956
ENGG,CS Computers,1KH,85356
ENGG,CS Computers,1KH,90092
ENGG,CS Computers,1KH,11363
ENGG,BG B Tech in AD,1KH,17372
ENGG,"AD Artificialntel, Data Sc",1KH,15484
ENGG,Intelligence,1KH,18034
ENGG,CS Computers,1RH,12098
ENGG,EC Electronics,1RH,35030
ENGG,EC Electronics,1RH,13056
ENGG,CS Computers,1RH,12946
ENGG,EC Electronics,1RH,20270
ENGG,EE Electrical,1RH,14989
ENGG,CE Civil,1RH,18791
ENGG,Data Sc.,1RH,12695
ENGG,EE Electrical,1RH,19291
ENGG,CS Computers,1RH,16859
ENGG,EC Electronics,1RH,14264
ENGG,Data Sc.,1RH,15052
ENGG,Data Sc.,1RH,26833
ENGG,BG B Tech in AD,1RH,26605
